Abbreviation/Shorthand,Meaning
NPPV,non-invasive positive pressure ventilation
NPS,nasopharyngeal swab
NPSG,nocturnal polysomnography
NPV,negative predictive value
NPWT,negative pressure wound therapy
NR,nicotinamide riboside
nr-axSpA,Non-Radiographic Axial Spondyloarthritis
NRAS,neuroblastoma Rat sarcoma virus viral oncogene homolog
NRB,non-rebreather mask
NREM,non-rapid eye movement
NRI,net reclassification improvement
NRM,non-relapse mortality
NRS,numeric rating scale
NS,Noonan Syndrome
NS,normal saline
NS3,nonstructural protein 3
NS5A,nonstructural protein 5A
NSAA,North Star Ambulatory Assessment
NSAA,nonsteroidal antiandrogen
NSAID,nonsteroidal antiinflammatory drug(s)
NSCLC,non-small cell lung cancer
NSIP,nonspecific interstitial pneumonia
NSIVCD,Non-Specific Interventricular Conduction Delay
NSML,Noonan syndrome with multiple lentigines
NSQIP,National Surgical Quality Improvement Program
NSR,normal sinus rhythm
NST,Non-Stress Test
NSTEMI,non-ST elevation myocardial infarction
NSVT,non-sustained ventricular tachycardia
NT,non-tender
NT,normal tissue
NT-proBNP,N-terminal pro b-type natriuretic peptide
NT1,narcolepsy type 1
NTD,neural tube defect
NTG,nitroglycerin
NTM,nontuberculous mycobacteria
NTRK,neurotrophic tyrosine receptor kinase
NTX,amino-terminal telopeptide of type 1 collagen
NVAF,non-valvular atrial fibrillation
NW,normal weight
NWB,non-weight bearing
NX,Regional lymph node stage - Cancer in nearby lymph nodes cannot be measured
NXG,Necrobiotic xanthogranuloma
NYHA,New York Heart Association
O&P,ova and parasites
O2,oxygen
OA,orbital atherectomy
OA,osteoarthritis
OAB,overactive bladder
OAC,oral anticoagulant
OAG,open-angle glaucoma
OAR,organs at risk
OASAS,New York Office of Addiction Services and Supports
OAT,oral appliance therapy
OATP,organic anion transporting polypeptide
OATS,osteochondral allograft transplantation surgery 
OB,occult blood
OC,oral contraceptive
OC,osteocalcin
occ,occasional
OCD,osteochondritis dissecans 
OCD,obsessive-compulsive disorder
OCD,osteochondral defects
OCP,oral contraceptive pill
OCT,optical coherence tomography
OCT3,organic cation transporter 3
OCTA,optical coherence tomography angiography
OCTT,orocoecal transit time
OD,overdose
OD,right eye (oculus dexter)
ODD,oppositional defiant disorder
ODG,Official Disability Guidelines
ODI,Oswestry Disability Index
ODI,oxygen desaturation index
ODT,orally disintegrating tablet
OETD,obstructive Eustachian tube dysfunction
OGTT,oral glucose tolerance test
OHCA,out-of-hospital cardiac arrest
OHSS,ovarian hyperstimulation syndrome
OHT,ocular hypertension
OHT,orthotopic heart transplantation
OINT,Ointment
OLE,open-label extension
OLE,oscillation and lung expasion
OM,outcome measure
OM,obtuse marginal branch
OM,Otitis Media
OM1,obtuse marginal branch 1
OM2,obtuse marginal branch 2
OM3,obtuse marginal branch 3
OMD,oligometastatic disease
OMFS,oral and maxillofacial surgery
OMM,optimized medical management
OMS,Oral & Maxillofacial Surgery 
OMT,optimized medical therapy
ONB,occipital nerve block
ONH,optic nerve head
ONLS,Overall Neuropathy Limitation Scale
OOM-SC,orbicularis oculi muscle stem cell
OP,open prostatectomy
OPC,oropharyngeal cancer
OPC,outer pillar cell
OPLL,ossification of the posterior longitudinal ligament
OPP,ocular perfusion pressure
OPTN,Organ Procurement and Transplantation Network
OPUS,Oral Passage Understanding Scale
OR,osmotic release
OR,odds ratio
OR,operating room
ORF,open reading frame
ORIF,open reduction internal fixation
ORR,objective response rate
ORS,oral rehydration solution
OS,left eye (oculus sinister)
OS,overall survival
OS12,overall survival at 12 months
OSA,obstructive sleep apnea
OSAS,Obstructive Sleep Apnea Syndrome
OSC,Operative Status Criteria
OSCC,oropharyngeal squamous cell carcinoma
OSD,ocular surface disease
OSH,outside hospital
OSR,Open Surgical Repair
OT,occupational therapy
OTC,over-the-counter
OTO,Outer to Outer
OTSC,over-the-scope clip
OTW,over-the-wire
OU,both eyes (oculus uterque)
OV,office visit
OVB,oral viscous budesonide
OW,overweight
OX1R,orexin receptor type 1
OX2R,orexin receptor type 2
Q4H,every four hours
Q8H,every eight hours
QABF,Questions About Behavioral Function
QALY,Quality Adjusted Life Years
QAM,every morning
QC,quadrangular cartilage
QD,every day/daily
QH,every hour/hourly
QHP,Qualified Healthcare Professional
QHS,every night/nightly
QID,four times per day
QIDS-SR,Quick Inventory of Depressive Symptomatology-Self-Report
QL,quantity limits
Qmax,maximum urine flow rate
QN,every night/nightly
QOD,every other day
QoL,quality of life
qPCR,quantitative polymerase chain reaction
QSM,quantitative susceptibility mapping
qSOFA,quick sequential organ failure assessment
QTc,corrected QT interval
QTF-TB,QuantiFERON Tuberculosis
QXH,every X hours
R,right
R-CHOP,"Rituximab, Cyclophosphamide, Hydroxydaunomycin, Oncovin, Prednisone"
R-EPOCH,"Rituximab, Etoposide, Prednisolone, Oncovin, Cyclophosphamide, Hydroxydaunorubicin"
R/O,rule out
R0,reproduction number
RA,rheumatoid arthritis
RA,right atrium
RA,room air
RA,rotational atherectomy
RA-ILD,rheumatoid arthritis-interstitial lung disease
rAAA,Ruptured Abdominal Aortic Aneurysm
rAAVrh74,recombinant AAV serotype rh74
RAC,recovery audit contractor
RAD,reactive airway disease
RAD51D,RAD51 Homolog D
RAE,right atrial enlargement
RAF,Rapidly Accelerated Fibrosarcoma
RAND/UCLA,Research and Development Corporation/University of California at Los Angeles
RANK,receptor activator of nuclear factor kappa-Β
RANKL,Receptor activator of nuclear factor kappa-Β ligand
RANO,Response Assessment in Neuro-oncology
RANTES,"Regulated upon Activation, Normal T Cell Expressed and Presumably Secreted"
RAPID3,Routine Assessment of Patient Index Data 3
Ras,rat sarcoma
RAS,Renin-Angiotensin System
RAS,resistance-associated substitution
RasGEF,Ras guanine nucleotide exchange factor
RB-IMRT,robustly optimized intensity-modulated radiation therapy
RBAS,radiosurgery-based AVM score
RBBB,right bundle branch block
RBC,red blood cells
RBC,red blood count
RBD,receptor binding domain
RBE,relative biological effectiveness
RBT,registered behavioral technician
RC,rotator cuff
RC,radical cystectomy
RC1,replication factor complex subunit 1
RCA,right coronary artery
RCC,renal cell carcinoma
RCG,radiocardiography
RCI,repository corticotropin injection
RCM,refractory chronic migraine
RCM,reflectance confocal microscopy
RCS,Raynaud’s Condition Score
RCT,randomized controlled trial
RCT,rotator cuff tear
RCU,respiratory care unit
RCVP,"rituximab, cyclophosphamide, vincristine sulfate, prednisone"
RCVS,reversible cerebral vasoconstriction syndrome
RD,retinal detachment
RDF,roof-dependent flutter
RDI,respiratory disturbance index
RdRp,RNA-dependent RNA polymerase
RDS,respiratory distress syndrome
RDV,remdesivir
REBOC,Radioembolization Brachytherapy Oncology Consortium
RECIST,Response Evaluation Criteria in Solid Tumors
REEL-4,Receptive-Expressive Emergent Language Test–Fourth Edition
REM,rapid eye movement
REMS,risk evaluation and mitigation strategy
RERA,respiratory-effort related arousal
RET,rearranged during transfection
RETU,Rapid Evaluation and Treatment Unit
RF,rheumatoid factor
RF,risk factor
RFA,radiofrequency ablation
RFA,right femoral artery
RFFP,radial forearm flap phalloplasty
RFN,radiofrequency neurotomy
RFP,red fluorescent protein
RFS,Reflux Finding Score
RFS,recurrence-free survival
RFT,renal function test
RFVTA,radiofrequency volumetric thermal ablation
rGBM,recurrent glioblastoma multiforme
Rh,rhesus factor
rhAPC,recombinant human activated protein C
RHC,rural health clinic
rhGH,recombinant human growth hormone
RI,resistance index
RIC,radiation-induced change
RICE,"Rituximab, Ifos­famide, Carbo­platin, Etopo­side"
RICE,"rest, ice, compression, elevation"
RIMA,right internal mammary artery
RIOM,raditation-induced oral mucositis
RIPC,remote ischaemic preconditioning
RIPE,"Rifampin, Isoniazide, Pyrazinamide, and Ethambutol"
RIS,reflux injury score
RITLS,Rossetti Infant-Toddler Language Scale
RLE,right lower extremity
RLF,Retrolental Fibroplasia
RLL,right lower lobe
RLQ,right lower quadrant
RLS,restless leg syndrome
RML,right middle lobe
RMS,relapsing multiple sclerosis
RNA,ribonucleic acid
RNFL,retinal nerve fiber layer
RNI,regional nodal irradiation
RNP,ribonucleoprotein
ROC,receiver operating characteristic
ROHHAD,"rapid-onset obesity with hypothalamic dysregulation, hypoventilation, and autonomic dysregulation"
ROM,range of motion
ROM,rupture of membranes
ROPES,Repetitive Obstacle Performance Evaluation System
ROS,review of systems
ROS,reactive oxygen species
ROS1,"ROS Proto-Oncogene 1, Receptor Tyrosine Kinase"
ROSAH,"retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis and migraine headache"
ROSC,return of spontaneous circulation
RP,radiation pneumonitis
RP,retinitis pigmentosa 
RP,Raynaud's phenomenon
RP PCR,respiratory polymerase chain reaction
RPDA,right posterior descending coronary artery
RPE,retinal pigment epithelium
RPG,Retrograde Pyelogram
RPL,recurrent pregnancy loss
RPLV,right posterolateral ventricular branch
RPP,Respiratory Pathogen Panel
RPR,rapid plasma reagin
RPT,Rifapentine
RR,recovery room
RR,response rate
RR,risk ratio
RR,respiratory rate
RR,relative risk
RRR,regular rate and rhythm
RRT,renal replacement therapy
rRT-PCR,real-time reverse transcriptase polymerase chain reaction
RSBQ,Rett Syndrome Behaviour Questionnaire
RSD,reflex sympathetic dystrophy
RSPI,repeated supratherapeutic paracetamol ingestion
RST,renal support therapy
RSV,respiratory syncytial virus
RT,radiation therapy
RT,respiration therapy
RT,resistance training
RT-PCR,reverse transcription polymerase chain reaction
RT-PCR,real time polymerase chain reaction
RTA,renal tubular acidosis
RTC,replicase-transcriptase complex
RTK,receptor tyrosine kinase
rTMS,repetitive transcranial magnetic stimulation
RTOG,Radiation Therapy Oncology Group
RTP,repetitive task practice
RTT,Rett syndrome
RUE,right upper extremity
RUL,right upper lobe
RUQ,right upper quadrant
rUTI,recurrent urinary tract infection
RUX,ruxolitinib
RV,right ventricle
RVE,right ventricular enlargement
RVFWS,RV free wall longitudinal systolic strain
RVP,respiratory viral panel
RVR,rapid ventricular response
RVSP,right ventricular systolic pressure
RW,rolling walker
RWMA,regional wall motion abnormality
RWT,Robotic Waterjet Treatment
RYGB,Roux-en-Y gastric bypass
RYR2,ryanodine receptor-2
P,pulse
p-CSI,proton craniospinal irradiation
P/C ratio,protein to creatinine ratio
P&A,percussion & auscultation
p16,cyclin-dependent kinase inhibitor 2A
p53,tumor protein P53
PA,periapical
PA,prior authorization
PA,pulmonary artery
PA,protease associated
PAC,premature atrial complexes
PACAP,pituitary adenylate cyclase-activating polypeptide
PAco2,alveolar carbon dioxide partial pressure
Paco2,arterial carbon dioxide partial pressure
PACU,post anesthesia care unit
PAD,peripheral arterial disease
PAE,Prostate Artery Embolization
PAF,paroxysmal atrial fibrillation
PAH,pulmonary arterial hypertension
PAH,predicted adult height
PAI-1,plasminogen activator inhibitor-1
pAIR,paraneoplastic autoimmune retinopathy
PAL,phenylalanine ammonia lyase
PALB2,Partner and Localizer of BRCA2
PAM,protospacer adjacent motif
PAMG-1,placental alpha microglobulin-1
PAMM,paracentral acute middle maculopathy
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome
PAo2,alveolar oxygen partial pressure
Pao2,arterial oxygen partial pressure
PAOD,Peripheral Arterial Occlusive Disease
PAP,positive airway pressure
PAPR,Powered Air Purifying Respirator
PAR-1,protease-activated receptor-1
PARDS,pediatric acute respiratory distress syndrome
PARP,poly ADP ribose polymerase
PAS,personal assistance service(s)
PAS,periodic acid-Schiff
PASC,Post-Acute Sequelae of SARS-CoV-2 infection
PASI,Psoriasis Area and Severity Index
PASI100,100% reduction in Psoriasis Area and Severity Index score
PASI50,50% reduction in Psoriasis Area and Severity Index score
PASI75,75% reduction in Psoriasis Area and Severity Index score
PASI90,90% reduction in Psoriasis Area and Severity Index score
PAU,Penetrating Aortic Ulcer
PAVET,Patient Assessment Validation Evaluation Test
PAWP,pulmonary arterial wedge pressure
PAWS,post-acute-withdrawal syndrome
PBA,pseudobulbar affect
PBC,primary biliary cholangitis
PBIS,positive behavioral interventions and supports
pBNP,NT-Pro B-Type Natriuretic Peptide
PBP,penicillin-binding protein
PBP,preoperative bowel preparation
PBRT,proton beam radiation therapy
PBS,pencil-beam scanning
PBS,phosphate-buffered saline
PBT,perioperative blood transfusion
PBT,proton beam therapy
pc,after meals (post cibum)
PC1,polycystin 1
PC2,polycystin 2
PCA,posterior cortical atrophy
PCA,patient controlled analgesia
PCA,personal care aide
PCA,Posterior Carotid Artery
PCa,prostate cancer
PCC,prothrombin complex
PCCM,Pediatric Critical Care Medicine
PCD,pneumatic compression device
PCDAI,Pediatric Crohn's Disease Activity Index
PCDH19,Protocadherin 19
PCF,physician compounded foam
PCF,pancreatic cyst fluid
PCI,percutaneous coronary intervention
PCI,prophylactic cranial irradiation
PCKD,polycystic kidney disease
PCL,posterior cruciate ligament
PCNL,Percutaneous Nephrolithotomy
PCNSL,primary central nervous system lymphoma
pCO2,partial pressure of carbon dioxide
PCOS,polycystic ovarian syndrome
PCP,phenylcyclohexyl piperidine/phencyclidine
PCP,pneumocystis pneumonia
PCP,primary care provider
PCR,polymerase chain reaction
PCR,pharyngeal constriction ratio
PCR-RFLP,polymerase chain reaction–restriction fragment length polymorphism
PCS,pelvic congestion syndrome
PCSK9,proprotein convertase subtilisin kexin 9
PCT,procalcitonin
PCU,progressive care unit
PCV,"Procarbazine Hydrochloride, Lomustine, Vincristine Sulfate"
PD,postural drainage
PD,Parkinson's disease
PD,Peritoneal Dialysis
PD,pneumatic dilation
PD,progressive disease
PD-L1,programmed death-ligand 1
PDA,patent ductus arteriosus
PDA,posterior descending artery
PDA,patent ductus arteriosus
PDAC,"Pricing, Data Analysis, and Coding"
PDE,phosphodiesterase
PDE4,phosphodiesterase 4
PDE5,Phosphodiesterase-5 Inhibitor
PDEF,Powder Effervescent
PDGF,platelet derived growth factor
PDGFRA,platelet derived growth factor receptor alpha
PDI,pain disability index
PDL,physical demand level
PDMP,prescription drug monitoring program
PDMS-2,Peabody Developmental Motor Scales-Second Edition
PDN,private duty nursing
PDO,patient derived organoid
PDT,Photodynamic Therapy
PE,physical examination
PE,pulmonary embolism
PE,Pressure Equalizer
PE-TLIF,percutaneous endoscopic transforaminal lumbar interbody fusion
PEA,phosphoethanolamine 
PEA,pulseless electrical activity
PEAK,Promoting Emergence of Advanced Knowledge
PEAK-DT,Promoting Emergence of Advanced Knowledge Direct Training
PECARN,Pediatric Emergency Care Applied Research Network
PECS,picture exchange communication system
PED,pigment epithelial detachment
PED,Persistent Epithelial Defect
PED,paroxysmal exercise-induced dyskinesia
PED,Pipeline Endovascular Device
PEEK,polyaryletherketone
PEEP,positive end expiratory pressure
PEF,peak expiratory flow
PEFR,peak expiratory flow rate
PEG,percutaneous endoscopic gastrostomy
PEG,polyethylene-glycol
PEG-J,percutaneous endoscopic gastro-jejunal
PEGylation,attachment of polyethylene glycol
PEJ,percutaneous endoscopic jejunostomy
PEM,polidocanol endovenous microfoam
PEMF,Pulsed Electromagnetic Field
PEMS,Poult Enteritis and Mortality Syndrome
PEN,Pen-injector
PEP,positive expiratory pressure
PEQ,Prosthesis Evaluation Questionnaire
PErFecTED,"Proximal Embolization First, Then, Embolize Distal"
PeRP,platelet-enriched plasma
PERRL,pupils equal round and reactive to light
PERRLA,"pupils equal, round, and reactive to light and accommodation"
PERS,personal emergency response system
PET,patulous Eustachian tube
PET,positron emission tomography
PEth,phosphatidylethanol
PEWS,Pediatric Early Warning Score
PF,preservative-free
PF,peak flow
PFD,pediatric feeding disorder
PFG,patient focus group
PFH,plasma-free hemoglobin
PFO,patent foramen ovale
PFPT,pelvic floor physical therapy
PFS,progression-free survival
PFS6,progression-free survival at six months
PFT,pulmonary function test
PFU,plaque-forming unit
pg,picogram
PG,pyoderma gangrenosum
pg/mL,picograms per milliliter
PGA,Physician Global Assessment
PGCG,peripheral giant cell granuloma
PGD,preimplantation genetic diagnosis
PGE2,prostaglandin E2
PGP,protein gene product
PGS,preimplantation genetic screening
PGT,Preimplantation Genetic Testing
PGT-A,Preimplantation Genetic Testing for Aneuploidy
PGT-M,preimplantation genetic testing for monogenic disorder
PH,pulmonary hypertension
pH,potential of hydrogen
Ph-,Philadelphia chromosome negative
PHEIC,Public Health Emergency of International Concern
PHI,Prostate Health Index
PHMM,posterior horn of the medial meniscus
PHN,postherpetic neuralgia
PHP,partial hospitalization program
PHQ,patient health questionnaire
PHV,percutaneously implanted heart valve
Pi,inorganic phosphate
PI,pneumatosis intestinalis
PI,protease inhibitor
PI-RADS,Prostate Imaging Reporting and Data System
PI3K,phosphoinositide 3-kinase
PiB-PET,Pittsburgh compound B-positron emission tomography 
PICA,posterior inferior cerebellar artery
PICC,peripherally inserted central catheter
PICO,"population, intervention, comparator, and outcomes"
PICOS,"Population, Intervention, Control, and Outcome Study"
PICU,pediatric intensive care unit
PID,primary immunodeficiency
PID,pelvic inflammatory disease
PIDD,primary immunodeficiency disease
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
PIP,penile improvement protocol
PIRFT,percutaneous intradiscal radiofrequency thermocoagulation
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis
PiZ,protease inhibitor Z
PiZZ,protease inhibitor ZZ
pJIA,polyarticular Juvenile Idiopathic Arthritis
PK,pharmacokinetic
PKD,paroxysmal kinesigenic dyskinesia
PKD,polycystic kidney disease
PKD1,polycystic kidney disease 1
PKP,penetrating keratoplasty
PKR,Partial Knee Replacement
PKU,phenylketonuria
PL,posterolateral
PLA,posterolateral 
PLA,pigmented lesion assay
PLA2R,Phospholipase A2 Receptor
PLEX,plasma exchange
PLIF,Posterior Lumbar Interbody Fusion
PLLT,Pellet
PLN,phospholamban
PLOF,Prior Level of Function
PLP,pyridoxal phosphate
PLS-5,"Preschool Language Scale, Fifth edition"
PLT,platelets
PLV,posterolateral ventricular
PM,polymyositis
PM,Pneumomediastinum
pm,post meridiem
PMA,pilomyxoid astrocytoma
PMAT,plasma membrane monoamine transporter
PMC,polymer-matrix composites
PMDB,Prescription Monitoring Database
PMH,progressive macular hypomelanosis
PMH,past medical history
PMI,point of maximum impulse (of the heart)
PML,progressive multifocal leukoencephalopathy
PMN,Polymorphonuclear Leukocyte
PMO,phosphorodiamidate morpholino oligomer
PMP,pyridoxamine phosphate
PMRT,postmastectomy radiation therapy
PMV,prolonged mechanical ventilation
PN,prurigo nodularis
PN,Plexiform Neurofibroma
PNA,pneumonia
PNB,prostate needle biopsy
PNC,penicillin
PND,Paroxysmal Nocturnal Dyspnea
PND,postnasal drainage
PNES,psychogenic non-epileptic seizure
PNET,primitive neuroectodermal tumor
PNFS,peripheral nerve field stimulation
PNH,Paroxysmal Nocturnal Hemoglobinuria
PNI,peripheral nerve injury
PNKD,paroxysmal non-kinesigenic dyskinesia
PNKT,Pen-injector Kit
PNS,peripheral nerve stimulation
PO,by mouth/oral
pO2,partial pressure of oxygen
POAG,primary open-angle glaucoma
POBA,plain old balloon angioplasty
POC,post-operative complications
POD,postoperative day
POEM,Per-Oral Endoscopic Myotomy 
POLG,"DNA polymerase gamma, catalytic subunit"
POMC,proopiomelanocortin
PONV,postoperative nausea and vomiting
POP,pelvic organ prolapsed
POTS,postural orthostatic tachycardia syndrome
POU1F1,Pituitary-Specific Positive Transcription Factor 1
POV,Power-Operated Vehicle
POWD,Powder
PP,per protocol
PPBS,Post-Prandial Blood Sugar
pPCI,primary percutaneous coronary intervention
PPD,purified protein derivative
PPE,personal protective equipment
PPF,pterygopalatine fossa
PPG,pterygopalatine ganglion
PPH,Procedure for Prolapsed Hemorrhoids
PPi,inorganic pyrophosphate
PPI,protein-protein interaction
PPI,proton pump inhibitor
PpIX,protoporphyrin IX
PPL,primary pancreatic lymphoma
ppm,parts per million
PPM,permanent pacemaker
PPROM,preterm premature rupture of membranes
PPS,posterior probability of superiority
PPV,positive pressure ventilation
PPV,positive predictive value
ppx,prophylaxis
PR,posterior repair
PR,prolonged release
PR,progesterone receptor
PR,platelet reactivity
PR,partial response
PRAM,Pediatric Respiratory Assessment Measure
PRBC,packed red blood cells
PRC,platelet-rich concentrate
PRCA,pure red cell aplasia
PRCoV,porcine respiratory coronavirus
PrEP,pre-exposure prophylaxis
PRES,posterior reversible encephalopathy syndrome
PRF,pulsed radiofrequency
PRGF,Platelet-Released Growth Factor
PRI,Patient Review Instrument
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses
PRK,photorefractive keratectomy
prn,pro re nata (as needed)
PRO,patient reported outcome
proBNP,prohormone brain natriuretic peptide
PROM,patient-reported outcome measure
PROM,passive range of motion
PROM,premature rupture of membranes
PROP1,homeobox protein prophet of pituitary-specific positive transcription factor 1
PRP,platelet-rich plasma
PRR,pattern recognition receptor
PRRT2,Proline Rich Transmembrane Protein 2
PRSY,Prefilled Syringe
PRV,planning at-risk volume
PRV,pseudorabies virus
PS,propensity score
PS,pressure support
PS,Parkinsonian syndromes
PSA,prostate specific antigen
PsA,psoriatic arthritis
PSA,polysubstance abuse
PSAD,prostate specific antigen density
PSARP,posterior sagittal anorectoplasty
PSC,Papanicolaou Society of Cytopathology
PSC,primary sclerosing cholangitis
PSF,posterior spinal fusion
PSG,polysomnogram
PSH,past surgical history
PSI,pneumonia severity index
PSIR,phase-sensitive inversion recovery
PSKT,Prefilled Syringe Kit
PSM,positive surgical margins
PSMA,prostate-specific membrane antigen
PsO,psoriasis
PSP,progressive supranuclear palsy
PSPT,passive scattering proton therapy
PSQI,Pittsburgh Sleep Quality Index
pSS,primary Sjogren’s syndrome
PSTE,Paste
PSV,peak systolic velocity
PSV,pressure support ventilation
PSW,penoscrotal webbing
Pt,patient
PT,physical therapy
PT,prothrombin time
PT24,Patch 24 HR
PT72,Patch 72 HR
PTA,pure-tone average
PTA,Percutaneous Transluminal Angioplasty
PTA,peritonsillar abscess
PTA,prior to admission
PTC,premature termination codon
PTCA,Percutaneous Transluminal Coronary Angioplasty
PTCH,Patch
PTCL,peripheral T-cell lymphoma
PTD,prior to delivery
PTD,preterm delivery
PTE,pulmonary thromboembolism
PTEN,phosphatase and tensin homolog
PTFC,prostaglandin/timolol fixed combination
PTFE,polytetrafluoroethylene
PTH,parathyroid hormone
PTHrP,parathyroid hormone-related protein
PTK,phototherapeutic keratectomy
PTLD,post-transplant lymphoproliferative disease
PTNS,Percutaneous or Posterior Tibial Nerve Stimulation 
PTP,protein tyrosine phosphatase
PTS,patellar and supracondylar
PTS,post-thrombotic syndrome
PTS,Parsonage-Turner syndrome
PTSD,post traumatic stress disorder
PTT,partial thromboplastin time
PTTW,Patch Twice Weekly
PTU,propylthiouracil
PTV,planning target volume
PTWK,Patch Weekly
PTX,pneumothorax
PUD,peptic ulcer disease
PUDG,Pudding
PUL,prostatic urethral lift
pUL56,PRV protein UL56
PUP,previously untreated patient
PUVA,psoralen and ultraviolet A
PV,polycythemia vera
PV,pulmonary vein
PV,pressure-volume
PV,prostate volume
PVC,premature ventricular contraction
PVD,peripheral vascular disease
PVI,pulmonary vein isolation
PVL,paravalvular leak
PVL,Periventricular Leukomalacia
PVP,Photoselective Vaporization of the Prostate
PVP-I,povidone-iodine
PVR,postvoid residual urine volume
PVR,pulse volume recording
PVS,pulmonary vein stenosis
PVT,portal vein thrombosis
PW,posterior wall
PWC,Power Wheelchair
PWI,perfusion-weighted imaging
PWS,Prader-Willi syndrome
PYD,pyridinoline
T,temperature
T Bili,total bilirubin
T-DXd,trastuzumab deruxtecan
t-EMG,triggered EMG
t-MeHa,tele‐methylhistamine
